HTNO ,SUBCODE,IM
149Y1A0128,1521201,12
149Y1A0169,1521201,14
149Y1A0182,1521201,18
149Y1A01C8,1521201,12
159Y1A0101,1521201,30
159Y1A0102,1521201,28
159Y1A0103,1521201,24
159Y1A0104,1521201,27
159Y1A0105,1521201,19
159Y1A0106,1521201,25
159Y1A0108,1521201,23
159Y1A0109,1521201,24
159Y1A0110,1521201,28
159Y1A0111,1521201,22
159Y1A0112,1521201,28
159Y1A0113,1521201,20
159Y1A0114,1521201,22
159Y1A0115,1521201,26
159Y1A0116,1521201,26
159Y1A0117,1521201,23
159Y1A0118,1521201,25
159Y1A0119,1521201,16
159Y1A0121,1521201,16
159Y1A0122,1521201,19
159Y1A0123,1521201,28
159Y1A0124,1521201,14
159Y1A0125,1521201,25
159Y1A0126,1521201,30
159Y1A0129,1521201,23
159Y1A0130,1521201,26
159Y1A0131,1521201,24
159Y1A0132,1521201,22
159Y1A0133,1521201,30
159Y1A0134,1521201,17
159Y1A0135,1521201,30
159Y1A0136,1521201,30
159Y1A0137,1521201,24
159Y1A0138,1521201,22
159Y1A0139,1521201,18
159Y1A0140,1521201,15
159Y1A0141,1521201,27
159Y1A0142,1521201,29
159Y1A0143,1521201,27
159Y1A0144,1521201,26
159Y1A0145,1521201,16
159Y1A0146,1521201,22
159Y1A0147,1521201,16
159Y1A0148,1521201,30
159Y1A0149,1521201,8
159Y1A0150,1521201,28
159Y1A0151,1521201,26
159Y1A0152,1521201,29
159Y1A0153,1521201,22
159Y1A0154,1521201,28
159Y1A0155,1521201,30
159Y1A0156,1521201,28
159Y1A0157,1521201,29
159Y1A0159,1521201,30
159Y1A0160,1521201,30
159Y1A0161,1521201,19
159Y1A0162,1521201,15
159Y1A0163,1521201,19
159Y1A0164,1521201,29
159Y1A0165,1521201,18
159Y1A0166,1521201,30
159Y1A0167,1521201,25
159Y1A0168,1521201,23
159Y1A0169,1521201,23
159Y1A0170,1521201,30
159Y1A0171,1521201,15
159Y1A0172,1521201,28
159Y1A0173,1521201,14
159Y1A0174,1521201,27
159Y1A0175,1521201,22
159Y1A0176,1521201,24
159Y1A0177,1521201,20
159Y1A0178,1521201,18
159Y1A0179,1521201,14
159Y1A0180,1521201,30
159Y1A0181,1521201,30
159Y1A0183,1521201,30
159Y1A0185,1521201,11
159Y1A0186,1521201,30
159Y1A0187,1521201,9
159Y1A0188,1521201,30
159Y1A0189,1521201,30
159Y1A0190,1521201,24
159Y1A0191,1521201,27
159Y1A0192,1521201,9
159Y1A0193,1521201,29
159Y1A0194,1521201,28
159Y1A0195,1521201,14
159Y1A0196,1521201,30
159Y1A0197,1521201,11
159Y1A0198,1521201,20
159Y1A0199,1521201,23
159Y1A01A0,1521201,30
159Y1A01A1,1521201,30
159Y1A01A2,1521201,24
159Y1A01A3,1521201,30
159Y1A01A4,1521201,19
159Y1A01A5,1521201,30
159Y1A01A6,1521201,23
159Y1A01A7,1521201,29
159Y1A01A8,1521201,26
159Y1A01A9,1521201,17
159Y1A01B0,1521201,28
159Y1A01B1,1521201,10
159Y1A01B2,1521201,30
159Y1A01B3,1521201,20
159Y1A01B4,1521201,30
159Y1A01B5,1521201,17
159Y1A01B6,1521201,30
159Y1A01B7,1521201,30
159Y1A01B8,1521201,29
159Y1A01B9,1521201,15
159Y1A01C0,1521201,30
159Y1A01C1,1521201,30
159Y1A01C2,1521201,30
159Y1A01C3,1521201,30
159Y1A01C4,1521201,28
159Y1A01C5,1521201,18
159Y1A01C6,1521201,18
159Y1A01C7,1521201,30
159Y1A01C8,1521201,23
159Y1A01C9,1521201,28
159Y1A01D0,1521201,22
159Y1A01D1,1521201,28
159Y1A01D2,1521201,25
159Y1A01D3,1521201,25
159Y1A01D4,1521201,16
159Y1A01D5,1521201,20
159Y1A01D6,1521201,24
159Y1A01D7,1521201,25
159Y1A01D8,1521201,28
159Y1A01D9,1521201,20
159Y1A01E1,1521201,30
159Y1A01E2,1521201,27
159Y1A01E3,1521201,15
159Y1A01E4,1521201,30
159Y1A01E5,1521201,24
159Y1A01E6,1521201,19
159Y1A01E7,1521201,17
159Y1A01E8,1521201,26
159Y1A01E9,1521201,26
159Y1A01F0,1521201,30
159Y1A01F1,1521201,30
159Y1A01F2,1521201,22
159Y1A01F3,1521201,30
159Y1A01F4,1521201,14
159Y1A01F5,1521201,30
159Y1A01F6,1521201,21
159Y1A01F7,1521201,25
159Y1A01F8,1521201,26
159Y1A01F9,1521201,29
159Y1A01G0,1521201,29
159Y1A01G1,1521201,25
159Y1A01G2,1521201,21
149Y1A0128,1521202,18
149Y1A0169,1521202,19
149Y1A0182,1521202,21
149Y1A01C8,1521202,21
159Y1A0101,1521202,28
159Y1A0102,1521202,26
159Y1A0103,1521202,20
159Y1A0104,1521202,21
159Y1A0105,1521202,21
159Y1A0106,1521202,20
159Y1A0108,1521202,24
159Y1A0109,1521202,19
159Y1A0110,1521202,26
159Y1A0111,1521202,20
159Y1A0112,1521202,26
159Y1A0113,1521202,24
159Y1A0114,1521202,21
159Y1A0115,1521202,24
159Y1A0116,1521202,24
159Y1A0117,1521202,20
159Y1A0118,1521202,19
159Y1A0119,1521202,18
159Y1A0121,1521202,19
159Y1A0122,1521202,19
159Y1A0123,1521202,20
159Y1A0124,1521202,18
159Y1A0125,1521202,18
159Y1A0126,1521202,28
159Y1A0129,1521202,17
159Y1A0130,1521202,23
159Y1A0131,1521202,23
159Y1A0132,1521202,20
159Y1A0133,1521202,29
159Y1A0134,1521202,22
159Y1A0135,1521202,24
159Y1A0136,1521202,28
159Y1A0137,1521202,26
159Y1A0138,1521202,18
159Y1A0139,1521202,21
159Y1A0140,1521202,20
159Y1A0141,1521202,23
159Y1A0142,1521202,21
159Y1A0143,1521202,25
159Y1A0144,1521202,23
159Y1A0145,1521202,20
159Y1A0146,1521202,19
159Y1A0147,1521202,17
159Y1A0148,1521202,26
159Y1A0149,1521202,17
159Y1A0150,1521202,28
159Y1A0151,1521202,24
159Y1A0152,1521202,26
159Y1A0153,1521202,20
159Y1A0154,1521202,28
159Y1A0155,1521202,27
159Y1A0156,1521202,26
159Y1A0157,1521202,25
159Y1A0159,1521202,28
159Y1A0160,1521202,26
159Y1A0161,1521202,19
159Y1A0162,1521202,19
159Y1A0163,1521202,23
159Y1A0164,1521202,28
159Y1A0165,1521202,22
159Y1A0166,1521202,29
159Y1A0167,1521202,26
159Y1A0168,1521202,26
159Y1A0169,1521202,27
159Y1A0170,1521202,28
159Y1A0171,1521202,8
159Y1A0172,1521202,26
159Y1A0173,1521202,20
159Y1A0174,1521202,16
159Y1A0175,1521202,20
159Y1A0176,1521202,24
159Y1A0177,1521202,26
159Y1A0178,1521202,19
