HTNO,SUBCODE,IM
149Y1A0169,1525601,19
149Y1A0182,1525601,2
149Y1A01C8,1525601,2
149Y1A01D0,1525601,20
149Y1A01D1,1525601,18
159Y1A0101,1525601,29
159Y1A0102,1525601,26
159Y1A0103,1525601,24
159Y1A0104,1525601,20
159Y1A0105,1525601,21
159Y1A0106,1525601,27
159Y1A0108,1525601,21
159Y1A0109,1525601,29
159Y1A0110,1525601,27
159Y1A0111,1525601,20
159Y1A0112,1525601,28
159Y1A0113,1525601,26
159Y1A0114,1525601,30
159Y1A0115,1525601,30
159Y1A0116,1525601,29
159Y1A0117,1525601,29
159Y1A0118,1525601,25
159Y1A0119,1525601,25
159Y1A0121,1525601,28
159Y1A0122,1525601,20
159Y1A0123,1525601,30
159Y1A0124,1525601,19
159Y1A0125,1525601,29
159Y1A0126,1525601,29
159Y1A0129,1525601,26
159Y1A0130,1525601,28
159Y1A0131,1525601,29
159Y1A0132,1525601,21
159Y1A0133,1525601,29
159Y1A0134,1525601,24
159Y1A0135,1525601,25
159Y1A0136,1525601,30
159Y1A0137,1525601,28
159Y1A0138,1525601,23
159Y1A0139,1525601,22
159Y1A0140,1525601,20
159Y1A0141,1525601,28
159Y1A0142,1525601,28
159Y1A0143,1525601,26
159Y1A0144,1525601,30
159Y1A0145,1525601,22
159Y1A0146,1525601,22
159Y1A0147,1525601,25
159Y1A0148,1525601,27
159Y1A0149,1525601,0
159Y1A0150,1525601,24
159Y1A0151,1525601,27
159Y1A0152,1525601,28
159Y1A0153,1525601,26
159Y1A0154,1525601,27
159Y1A0155,1525601,29
159Y1A0156,1525601,29
159Y1A0157,1525601,29
159Y1A0159,1525601,25
159Y1A0160,1525601,24
159Y1A0161,1525601,23
159Y1A0162,1525601,28
159Y1A0163,1525601,20
159Y1A0164,1525601,29
159Y1A0165,1525601,24
159Y1A0166,1525601,28
159Y1A0167,1525601,29
159Y1A0168,1525601,27
159Y1A0169,1525601,28
159Y1A0170,1525601,30
159Y1A0171,1525601,23
159Y1A0172,1525601,26
159Y1A0173,1525601,22
159Y1A0174,1525601,26
159Y1A0175,1525601,26
159Y1A0176,1525601,24
159Y1A0177,1525601,28
159Y1A0178,1525601,21
159Y1A0179,1525601,20
159Y1A0180,1525601,29
159Y1A0181,1525601,28
159Y1A0183,1525601,29
159Y1A0185,1525601,18
159Y1A0186,1525601,30
159Y1A0187,1525601,25
159Y1A0188,1525601,30
159Y1A0189,1525601,30
159Y1A0190,1525601,29
159Y1A0191,1525601,29
159Y1A0192,1525601,22
159Y1A0193,1525601,30
159Y1A0194,1525601,29
159Y1A0195,1525601,26
159Y1A0196,1525601,30
159Y1A0197,1525601,18
159Y1A0198,1525601,26
159Y1A0199,1525601,28
159Y1A01A0,1525601,29
159Y1A01A1,1525601,30
159Y1A01A2,1525601,30
159Y1A01A3,1525601,30
159Y1A01A4,1525601,28
159Y1A01A5,1525601,30
159Y1A01A6,1525601,29
159Y1A01A7,1525601,26
159Y1A01A8,1525601,28
