specialization,regulation,semester,sn,subject_code
CE,R15UG,1,1,1521101
CE,R15UG,1,2,1522102
CE,R15UG,1,3,1523103
CE,R15UG,1,4,1524104
CE,R15UG,1,5,1503105
CE,R15UG,1,6,1525106
CE,R15UG,1,7,1599107
CE,R15UG,1,8,1524108
CE,R15UG,2,1,1521201
CE,R15UG,2,2,1521202
CE,R15UG,2,3,1505203
CE,R15UG,2,4,1524204
CE,R15UG,2,5,1503205
CE,R15UG,2,6,1501206
CE,R15UG,2,7,1599207
CE,R15UG,2,8,1505208
CE,R15UG,3,1,1521302
CE,R15UG,3,2,1501301
CE,R15UG,3,3,1501303
CE,R15UG,3,4,1501304
CE,R15UG,3,5,1501305
CE,R15UG,3,6,1501306
CE,R15UG,3,7,1501307
CE,R15UG,3,8,1501308
CE,R15UG,4,1,1502401
CE,R15UG,4,2,1501402
CE,R15UG,4,3,1501403
CE,R15UG,4,4,1501404
CE,R15UG,4,5,1501405
CE,R15UG,4,6,1501406
CE,R15UG,4,7,1501407
CE,R15UG,4,8,1501408
CE,R15UG,4,9,1501409
CE,R15UG,5,1,1501501
CE,R15UG,5,2,1501502
CE,R15UG,5,3,1501503
CE,R15UG,5,4,1501504
CE,R15UG,5,5,1501505
CE,R15UG,5,7,1501509
CE,R15UG,5,8,1501510
CE,R15UG,6,1,1525601
CE,R15UG,6,2,1501602
CE,R15UG,6,3,1501603
CE,R15UG,6,4,1501604
CE,R15UG,6,5,1501605
CE,R15UG,6,7,1501609
CE,R15UG,6,8,1501610
CE,R15UG,7,1,1501701
CE,R15UG,7,2,1501702
CE,R15UG,7,3,1501703
CE,R15UG,7,4,1501704
CE,R15UG,7,5,1501705
CE,R15UG,7,7,1501709
CE,R15UG,7,8,1501710
CE,R15UG,8,1,1501801
CE,R15UG,8,2,1501802
CE,R15UG,8,3,1501803
CE,R15UG,8,5,1501807
CE,R15UG,8,6,1501808
EEE,R15UG,1,1,1521101
EEE,R15UG,1,2,1521102
EEE,R15UG,1,3,1503103
EEE,R15UG,1,4,1524104
EEE,R15UG,1,5,1505105
EEE,R15UG,1,6,1501106
EEE,R15UG,1,7,1505107
EEE,R15UG,1,8,1599108
EEE,R15UG,2,1,1522201
EEE,R15UG,2,2,1521202
EEE,R15UG,2,3,1523203
EEE,R15UG,2,4,1524204
EEE,R15UG,2,5,1502205
EEE,R15UG,2,6,1525206
EEE,R15UG,2,7,1524207
EEE,R15UG,2,8,1599208
EEE,R15UG,3,1,1521301
EEE,R15UG,3,2,1511302
EEE,R15UG,3,3,1504303
EEE,R15UG,3,4,1502304
EEE,R15UG,3,5,1502305
EEE,R15UG,3,6,1502306
EEE,R15UG,3,7,1511307
EEE,R15UG,3,8,1502308
EEE,R15UG,4,1,1514401
EEE,R15UG,4,2,1504402
EEE,R15UG,4,3,1502403
EEE,R15UG,4,4,1502404
EEE,R15UG,4,5,1502405
EEE,R15UG,4,6,1502406
EEE,R15UG,4,7,1514407
EEE,R15UG,4,8,1502408
EEE,R15UG,5,1,1525501
EEE,R15UG,5,2,1502502
EEE,R15UG,5,3,1502503
EEE,R15UG,5,4,1502504
EEE,R15UG,5,5,1502505
EEE,R15UG,5,7,1502509
EEE,R15UG,5,8,1502510
EEE,R15UG,6,1,1514601
EEE,R15UG,6,2,1514602
EEE,R15UG,6,3,1502603
EEE,R15UG,6,4,1502604
EEE,R15UG,6,5,1502605
EEE,R15UG,6,7,1524609
EEE,R15UG,6,8,1502610
EEE,R15UG,6,9,1502611
EEE,R15UG,7,1,1525701
EEE,R15UG,7,2,1502702
EEE,R15UG,7,3,1502703
EEE,R15UG,7,4,1502704
EEE,R15UG,7,5,1502705
EEE,R15UG,7,7,1514709
EEE,R15UG,7,8,1502710
EEE,R15UG,8,1,1502801
EEE,R15UG,8,2,1502802
EEE,R15UG,8,3,1502803
EEE,R15UG,8,5,1502807
EEE,R15UG,8,6,1502808
CSE,R15UG,1,1,1521101
CSE,R15UG,1,2,1521102
CSE,R15UG,1,3,1503103
CSE,R15UG,1,4,1524104
CSE,R15UG,1,5,1505105
CSE,R15UG,1,6,1501106
CSE,R15UG,1,7,1505107
CSE,R15UG,1,8,1599108
CSE,R15UG,2,1,1522201
CSE,R15UG,2,2,1521202
CSE,R15UG,2,3,1523203
CSE,R15UG,2,4,1524204
CSE,R15UG,2,5,1505205
CSE,R15UG,2,6,1525206
CSE,R15UG,2,7,1524207
CSE,R15UG,2,8,1599208
CSE,R15UG,3,1,1599301
CSE,R15UG,3,2,1505302
CSE,R15UG,3,3,1505303
CSE,R15UG,3,4,1505304
CSE,R15UG,3,5,1525305
CSE,R15UG,3,6,1505306
CSE,R15UG,3,7,1505307
CSE,R15UG,3,8,1599308
CSE,R15UG,4,1,1521401
CSE,R15UG,4,2,1505402
CSE,R15UG,4,3,1505403
CSE,R15UG,4,4,1505404
CSE,R15UG,4,5,1505405
CSE,R15UG,4,6,1505406
CSE,R15UG,4,7,1525407
CSE,R15UG,4,8,1505408
CSE,R15UG,5,1,1505501
CSE,R15UG,5,2,1505502
CSE,R15UG,5,3,1505503
CSE,R15UG,5,4,1505504
CSE,R15UG,5,6,1504508
CSE,R15UG,5,7,1505509
CSE,R15UG,5,8,1524510
CSE,R15UG,6,1,1505601
CSE,R15UG,6,2,1505602
CSE,R15UG,6,3,1505603
CSE,R15UG,6,4,1505604
CSE,R15UG,6,5,1505605
CSE,R15UG,6,7,1505609
CSE,R15UG,6,8,1505610
CSE,R15UG,7,1,1505701
CSE,R15UG,7,2,1505702
CSE,R15UG,7,3,1505703
CSE,R15UG,7,4,1505704
CSE,R15UG,7,6,1505708
CSE,R15UG,7,7,1505709
CSE,R15UG,7,8,1505710
CSE,R15UG,8,1,1505801
CSE,R15UG,8,2,1505802
CSE,R15UG,8,3,1525803
