specialization,regulation,semester,subject_category,subject_offering_type,L,T,P,IM,EM,CR,sn
CE,R15UG,1,BS,CORE,3,1,0,30,70,3,1
CE,R15UG,1,BS,CORE,3,1,0,30,70,3,2
CE,R15UG,1,BS,CORE,3,1,0,30,70,3,3
CE,R15UG,1,HS,CORE,4,0,0,30,70,3,4
CE,R15UG,1,ED,CORE,1,0,3,30,70,3,5
CE,R15UG,1,HS,CORE,4,0,0,30,70,3,6
CE,R15UG,1,BS,CORE,0,0,3,50,50,2,7
CE,R15UG,1,HS,CORE,0,0,3,50,50,2,8
CE,R15UG,2,BS,CORE,3,1,0,30,70,3,1
CE,R15UG,2,BS,CORE,3,1,0,30,70,3,2
CE,R15UG,2,ED,CORE,3,1,0,30,70,3,3
CE,R15UG,2,HS,CORE,4,0,0,30,70,3,4
CE,R15UG,2,ED,CORE,1,0,3,30,70,3,5
CE,R15UG,2,HS,CORE,4,0,0,30,70,3,6
CE,R15UG,2,ED,CORE,0,0,3,50,50,2,7
CE,R15UG,2,ED,CORE,0,0,3,50,50,2,8
CE,R15UG,3,BS,CORE,3,1,0,30,70,3,1
CE,R15UG,3,ED,CORE,3,1,0,30,70,3,2
CE,R15UG,3,PJ,CORE,3,1,0,30,70,3,3
CE,R15UG,3,PJ,CORE,3,1,0,30,70,3,4
CE,R15UG,3,PJ,CORE,3,1,0,30,70,3,5
CE,R15UG,3,PJ,CORE,3,1,0,30,70,3,6
CE,R15UG,3,PJ,CORE,0,0,3,50,50,2,7
CE,R15UG,3,PJ,CORE,0,0,3,50,50,2,8
CE,R15UG,4,PN,CORE,3,1,0,30,70,3,1
CE,R15UG,4,PJ,CORE,3,1,0,30,70,3,2
CE,R15UG,4,PJ,CORE,3,1,0,30,70,3,3
CE,R15UG,4,PJ,CORE,3,1,0,30,70,3,4
CE,R15UG,4,PJ,CORE,3,1,0,30,70,3,5
CE,R15UG,4,PJ,CORE,3,1,0,30,70,3,6
CE,R15UG,4,PJ,CORE,0,0,3,50,50,2,7
CE,R15UG,4,PJ,CORE,0,0,3,50,50,2,8
CE,R15UG,4,PN,CORE,0,0,3,0,0,0,9
CE,R15UG,5,PJ,CORE,3,1,0,30,70,3,1
CE,R15UG,5,PJ,CORE,3,1,0,30,70,3,2
CE,R15UG,5,PJ,CORE,3,1,0,30,70,3,3
CE,R15UG,5,PJ,CORE,3,1,0,30,70,3,4
CE,R15UG,5,PJ,CORE,3,1,0,30,70,3,5
CE,R15UG,5,PN,ELECTIVE,3,1,0,30,70,3,6
CE,R15UG,5,PJ,CORE,0,0,3,50,50,2,7
CE,R15UG,5,PJ,CORE,0,0,3,50,50,2,8
CE,R15UG,6,HS,CORE,3,1,0,30,70,3,1
CE,R15UG,6,PJ,CORE,3,1,0,30,70,3,2
CE,R15UG,6,PJ,CORE,3,1,0,30,70,3,3
CE,R15UG,6,PJ,CORE,3,1,0,30,70,3,4
CE,R15UG,6,PJ,CORE,3,1,0,30,70,3,5
CE,R15UG,6,PJ,ELECTIVE,3,1,0,30,70,3,6
CE,R15UG,6,PJ,CORE,0,0,3,50,50,2,7
CE,R15UG,6,PJ,CORE,0,0,3,50,50,2,8
CE,R15UG,7,PJ,CORE,3,1,0,30,70,3,1
CE,R15UG,7,PJ,CORE,3,1,0,30,70,3,2
CE,R15UG,7,PJ,CORE,3,1,0,30,70,3,3
CE,R15UG,7,PJ,CORE,3,1,0,30,70,3,4
CE,R15UG,7,PJ,CORE,3,1,0,30,70,3,5
CE,R15UG,7,PJ,ELECTIVE,3,1,0,30,70,3,6
CE,R15UG,7,PJ,CORE,0,0,3,50,50,2,7
CE,R15UG,7,PJ,CORE,0,0,3,50,50,2,8
CE,R15UG,8,PJ,CORE,3,1,0,30,70,3,1
CE,R15UG,8,PJ,CORE,3,1,0,30,70,3,2
CE,R15UG,8,PJ,CORE,3,1,0,30,70,3,3
CE,R15UG,8,PJ,ELECTIVE,3,1,0,30,70,3,4
CE,R15UG,8,PJ,CORE,0,0,0,50,50,2,5
CE,R15UG,8,PJ,CORE,0,0,0,50,50,12,6
EEE,R15UG,1,BS,CORE,3,1,0,30,70,3,1
EEE,R15UG,1,BS,CORE,3,1,0,30,70,3,2
EEE,R15UG,1,ED,CORE,1,0,3,30,70,3,3
EEE,R15UG,1,HS,CORE,4,0,0,30,70,3,4
EEE,R15UG,1,ED,CORE,3,1,0,30,70,3,5
EEE,R15UG,1,HS,CORE,4,0,0,30,70,3,6
EEE,R15UG,1,ED,CORE,0,0,3,50,50,2,7
EEE,R15UG,1,ED,CORE,0,0,3,50,50,2,8
EEE,R15UG,2,BS,CORE,3,1,0,30,70,3,1
EEE,R15UG,2,BS,CORE,3,1,0,30,70,3,2
EEE,R15UG,2,BS,CORE,3,1,0,30,70,3,3
EEE,R15UG,2,HS,CORE,4,0,0,30,70,3,4
EEE,R15UG,2,PJ,CORE,3,1,3,30,70,3,5
EEE,R15UG,2,HS,CORE,4,0,0,30,70,3,6
EEE,R15UG,2,HS,CORE,0,0,3,50,50,2,7
EEE,R15UG,2,BS,CORE,0,0,3,50,50,2,8
EEE,R15UG,3,BS,CORE,3,1,0,30,70,3,1
EEE,R15UG,3,PN,CORE,4,0,0,30,70,3,2
EEE,R15UG,3,PJ,CORE,4,0,0,30,70,3,3
EEE,R15UG,3,PJ,CORE,3,1,0,30,70,3,4
EEE,R15UG,3,PJ,CORE,3,1,0,30,70,3,5
EEE,R15UG,3,PJ,CORE,3,1,0,30,70,3,6
EEE,R15UG,3,PN,CORE,0,0,3,50,50,2,7
EEE,R15UG,3,PJ,CORE,0,0,3,50,50,2,8
EEE,R15UG,4,PJ,CORE,3,1,0,30,70,3,1
EEE,R15UG,4,PJ,CORE,3,1,0,30,70,3,2
EEE,R15UG,4,PJ,CORE,3,1,0,30,70,3,3
EEE,R15UG,4,PJ,CORE,3,1,0,30,70,3,4
EEE,R15UG,4,PJ,CORE,3,1,0,30,70,3,5
EEE,R15UG,4,PJ,CORE,3,1,0,30,70,3,6
EEE,R15UG,4,PJ,CORE,0,0,3,50,50,2,7
EEE,R15UG,4,PJ,CORE,0,0,3,50,50,2,8
EEE,R15UG,5,HS,CORE,3,1,0,30,70,3,1
EEE,R15UG,5,PJ,CORE,3,1,0,30,70,3,2
EEE,R15UG,5,PJ,CORE,3,1,0,30,70,3,3
EEE,R15UG,5,PJ,CORE,3,1,0,30,70,3,4
EEE,R15UG,5,PJ,CORE,3,1,0,30,70,3,5
