subject_code,short_name,name,department,is_theory,is_lab,is_project
1501106,ES,Environmental Studies,CED,1,0,0
1501206,ES,Environmental Studies,CED,1,0,0
1501301,EM,Engineering Mechanics,CED,1,0,0
1501303,SUR1,Surveying-1,CED,1,0,0
1501304,BM,Building Materials,CED,1,0,0
1501305,FM,Fluid Mechanics,CED,1,0,0
1501306,EGEO,Engineering Geology,CED,1,0,0
1501307,SFW1LAB,Surveying Field Work-1 Laboratory,CED,0,1,0
1501308,EGEOLAB,Engineering Geology Laboratory,CED,0,1,0
1501402,MM1,Mechanics of Materials-1,CED,1,0,0
1501403,SUR2,Surveying-2,CED,1,0,0
1501404,BC,Building Construction,CED,1,0,0
1501405,HM,Hydraulic Machinery,CED,1,0,0
1501406,GTE1,Geotechnical Engineering-1,CED,1,0,0
1501407,SFW2LAB,Surveying Field Work-2 Laboratory,CED,0,1,0
1501408,FMHMLAB,Fluid Mechanics and Hydraulic Machinery Laboratory,CED,0,1,0
1501409,BEEELAB,Basic Electrical and Electronics Engineering Laboratory,CED,0,1,0
1501501,MM2,Mechanics of Materials-2,CED,1,0,0
1501502,GTE2,Geotechnical Engineering-2,CED,1,0,0
1501503,HY,Hydrology,CED,1,0,0
1501504,CT,Concrete Technology,CED,1,0,0
1501505,WSE,Water Supply Engineering,CED,1,0,0
1501506,S1501506,Introduction to Java Programming,CED,1,0,0
1501507,S1501507,Operations Research,CED,1,0,0
1501508,S1501508,Entrepreneurship,CED,1,0,0
1501509,SMLAB,Strength of Materials Laboratory,CED,1,0,0
1501510,GTELAB,Geotechnical Engineering Laboratory,CED,1,0,0
1501602,SA1,Structural Analysis-1,CED,1,0,0
1501603,RCC1,Design and Detailing of Reinforced Concrete Structures-1,CED,1,0,0
1501604,WRE1,Water Resources Engineering-1,CED,1,0,0
1501605,TE1,Transportation Engineering-1,CED,1,0,0
1501606,S1501606,Remote Sensing and GIS,CED,1,0,0
1501607,S1501607,Watershed and River Basin Management,CED,1,0,0
1501608,S1501608,Civil Engineering Profesional Practice,CED,1,0,0
1501609,EELAB,Environmental Engineering Laboratory,CED,0,1,0
1501610,CADLAB,Computer Aided Building Drawing Laboratory,CED,0,1,0
